season,episode_number,title,airdate,rating,total_votes,desc
4,3,403 Forbidden,2019-10-20,8.7,6465,"Elliot's newest hack helps him share his emotions; Whiterose puts the pieces in motion; Elliot and Darlene have a disagreement; Vera plans his next move; In flashbacks, some key moments in Whiterose's life are revealed."
4,4,404 Not Found,2019-10-27,8.7,7176,"Tyrell, Elliot, and Mr. Robot go on a perilous journey through the woods; Darlene deals with her feelings when she has to take a drunk Santa home; Dom is aroused and has a nightmare."
4,5,405 Method Not Allowed,2019-11-03,9.7,13262,Dom has an unpleasant Christmas. Darlene and Elliot perform a daring infiltration. Krista prepares for a date.
4,6,406 Not Acceptable,2019-11-10,9.1,7019,Elliot blackmails Olivia to make an important phone call; Dom struggles when she's ordered to do something distressing; Vera gets information out of Krista; Whiterose wants Elliot brought directly to her.
4,7,407 Proxy Authentication Required,2019-11-17,9.9,29233,Vera holds Krista hostage as he tries to force Elliot into joining him by understanding Mr. Robot. Elliot realizes a shocking truth.
4,8,408 Request Timeout,2019-11-24,9.2,7718,Janice tries to get Elliot's location from Dom and Darlene. Elliot goes to the Queens Museum.
4,9,409 Conflict,2019-12-01,9.7,12932,Mr. Robot and Darlene attempt to take down the Deus group as Elliot remains unstable; Price faces off with Whiterose; Whiterose tries to manipulate Elliot; Mr. Robot struggles to figure out how to help Elliot find himself.
4,10,410 Gone,2019-12-08,8.2,7512,Darlene and Dom hit the road. Elliot is not done yet.
4,11,eXit,2019-12-15,9.4,9254,Enough is enough. Elliot goes to the Washington Township Power Plant.
4,12,whoami,2019-12-22,9.5,10104,"Elliot wakes up in an abandoned lot following the explosion at the Washington Township plant, which is no longer there."
4,13,"Hello, Elliot",2019-12-22,9.8,17932,"Elliot gets to Coney Island, and the delusion begins to slip. Mr. Robot reveals the truth."
